"filename", "language", "JSON with Comments", "JSON", "TypeScript", "HTML", "PostCSS", "Markdown", "XML", "Python", "comment", "blank", "total"
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\search\search.component.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 1, 3, 21
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\statistics\children\reported-comment-page\reported-comment-page.component.css", "PostCSS", 0, 0, 0, 0, 294, 0, 0, 0, 0, 54, 348
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\statistics\children\reported-comment-page\reported-comment-page.component.html", "HTML", 0, 0, 0, 129, 0, 0, 0, 0, 0, 33, 162
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\statistics\children\reported-comment-page\reported-comment-page.component.ts", "TypeScript", 0, 0, 112, 0, 0, 0, 0, 0, 61, 29, 202
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\statistics\children\reported-comments\reported-comments.component.css", "PostCSS", 0, 0, 0, 0, 61, 0, 0, 0, 0, 12, 73
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\statistics\children\reported-comments\reported-comments.component.html", "HTML", 0, 0, 0, 17, 0, 0, 0, 0, 0, 2, 19
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\statistics\children\reported-comments\reported-comments.component.ts", "TypeScript", 0, 0, 44, 0, 0, 0, 0, 0, 25, 12, 81
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\statistics\children\reported-pin-page\reported-pin-page.component.css", "PostCSS", 0, 0, 0, 0, 317, 0, 0, 0, 0, 57, 374
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\statistics\children\reported-pin-page\reported-pin-page.component.html", "HTML", 0, 0, 0, 97, 0, 0, 0, 0, 0, 27, 124
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\statistics\children\reported-pin-page\reported-pin-page.component.ts", "TypeScript", 0, 0, 123, 0, 0, 0, 0, 0, 61, 29, 213
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\statistics\children\reported-pins\reported-pins.component.css", "PostCSS", 0, 0, 0, 0, 84, 0, 0, 0, 0, 14, 98
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\statistics\children\reported-pins\reported-pins.component.html", "HTML", 0, 0, 0, 17, 0, 0, 0, 0, 0, 2, 19
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\statistics\children\reported-pins\reported-pins.component.ts", "TypeScript", 0, 0, 46, 0, 0, 0, 0, 0, 25, 12, 83
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\statistics\children\stats-home\stats-home.component.css", "PostCSS", 0, 0, 0, 0, 104, 0, 0, 0, 0, 20, 124
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\statistics\children\stats-home\stats-home.component.html", "HTML", 0, 0, 0, 64, 0, 0, 0, 0, 16, 41, 121
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\statistics\children\stats-home\stats-home.component.ts", "TypeScript", 0, 0, 136, 0, 0, 0, 0, 0, 56, 38, 230
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\statistics\children\stats-reports\stats-reports.component.css", "PostCSS", 0, 0, 0, 0, 52, 0, 0, 0, 0, 11, 63
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\statistics\children\stats-reports\stats-reports.component.html", "HTML", 0, 0, 0, 22, 0, 0, 0, 0, 2, 8, 32
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\statistics\children\stats-reports\stats-reports.component.ts", "TypeScript", 0, 0, 74, 0, 0, 0, 0, 0, 37, 21, 132
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\statistics\components\gf-card-quick-access\gf-card-quick-access.component.css", "PostCSS", 0, 0, 0, 0, 75, 0, 0, 0, 0, 15, 90
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\statistics\components\gf-card-quick-access\gf-card-quick-access.component.html", "HTML", 0, 0, 0, 49, 0, 0, 0, 0, 2, 5, 56
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\statistics\components\gf-card-quick-access\gf-card-quick-access.component.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\statistics\components\gf-card-quick-view\gf-card-quick-view.component.css", "PostCSS", 0, 0, 0, 0, 37, 0, 0, 0, 0, 8, 45
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\statistics\components\gf-card-quick-view\gf-card-quick-view.component.html", "HTML", 0, 0, 0, 50, 0, 0, 0, 0, 2, 10, 62
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\statistics\components\gf-card-quick-view\gf-card-quick-view.component.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\statistics\statistics.component.css", "PostCSS", 0, 0, 0, 0, 31, 0, 0, 0, 0, 7, 38
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\statistics\statistics.component.html", "HTML", 0, 0, 0, 21, 0, 0, 0, 0, 0, 8, 29
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\statistics\statistics.component.ts", "TypeScript", 0, 0, 44, 0, 0, 0, 0, 0, 8, 12, 64
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\terms-of-service\terms-of-service.component.css", "PostCSS", 0, 0, 0, 0, 56, 0, 0, 0, 7, 18, 81
